ID	NOGNA-2M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-KL_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-HL_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-QR_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-ST_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-AB_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-KL_samtools_idxstats_miRNA_counts.txt
mmu-miR-6938-5p	0	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	4	4
mmu-miR-6939-3p	0	0	0	0	0	0	0	0	36	0	0	0	4	4	5	1	1	1
mmu-miR-6939-5p	0	0	0	0	14	0	7	0	0	0	0	0	6	3	2	0	2	2
mmu-miR-694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-6940-3p	0	33	0	36	47	13	40	0	6	31	0	5	28	46	37	27	63	11
mmu-miR-6940-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	7	0
mmu-miR-6941-3p	10	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	5	0
mmu-miR-6941-5p	0	0	24	0	10	0	2	0	0	0	0	3	0	1	3	5	0	4
mmu-miR-6942-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-6942-5p	6	0	0	0	5	14	34	17	0	0	0	4	9	12	21	11	20	3
mmu-miR-6943-3p	0	0	0	0	0	12	3	0	0	0	0	0	3	1	6	1	3	2
mmu-miR-6943-5p	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0
mmu-miR-6944-3p	0	0	57	0	34	20	67	11	48	19	34	61	40	56	63	39	50	38
mmu-miR-6944-5p	0	0	0	0	0	4	6	0	0	0	11	1	0	3	6	17	0	3
mmu-miR-6945-3p	0	0	0	0	6	0	4	0	0	0	0	0	5	15	2	9	3	7
mmu-miR-6945-5p	32	8	0	0	1	0	4	0	0	0	0	5	2	11	0	0	12	1
mmu-miR-6946-3p	0	0	0	0	0	0	7	0	0	0	0	7	6	3	3	0	0	0
mmu-miR-6946-5p	0	0	0	0	0	10	8	0	13	0	0	0	3	2	8	0	7	8
mmu-miR-6947-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
mmu-miR-6947-5p	0	0	0	0	0	2	7	0	0	0	0	0	2	0	0	0	0	0
mmu-miR-6948-3p	29	0	17	0	0	0	7	0	0	0	0	0	6	2	9	11	1	1
mmu-miR-6948-5p	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	4	0
mmu-miR-6949-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
mmu-miR-6949-5p	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-695	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
